date,Production(W),Consumption(W)
2022-04-24 0:00:00,0.0,6.107
2022-04-24 1:00:00,0.0,5.921
2022-04-24 2:00:00,0.0,5.991
2022-04-24 3:00:00,0.0,5.87
2022-04-24 4:00:00,0.0,5.945
2022-04-24 5:00:00,1.191,5.897
2022-04-24 6:00:00,1.647,5.951
2022-04-24 7:00:00,9.199,6.059
2022-04-24 8:00:00,13.92,6.357
2022-04-24 9:00:00,19.83,6.634
2022-04-24 10:00:00,18.512,6.514
2022-04-24 11:00:00,21.481,6.6
2022-04-24 12:00:00,21.209,6.66
2022-04-24 13:00:00,17.419,6.615
2022-04-24 14:00:00,16.705,6.214
2022-04-24 15:00:00,11.051,6.083
2022-04-24 16:00:00,5.936,5.976
2022-04-24 17:00:00,2.189,6.24
2022-04-24 18:00:00,1.296,6.356
2022-04-24 19:00:00,0.0,6.314
2022-04-24 20:00:00,0.0,6.332
2022-04-24 21:00:00,0.0,6.198
2022-04-24 22:00:00,0.0,6.077
2022-04-24 23:00:00,0.0,6.092
