date,Production(W),Consumption(W)
2022-07-22 0:00:00,0.0,12.96
2022-07-22 1:00:00,0.0,13.138
2022-07-22 2:00:00,0.0,13.191
2022-07-22 3:00:00,0.0,13.073
2022-07-22 4:00:00,0.0,12.798
2022-07-22 5:00:00,0.0,12.754
2022-07-22 6:00:00,1.249,13.194
2022-07-22 7:00:00,4.728,14.145
2022-07-22 8:00:00,15.708,16.204
2022-07-22 9:00:00,27.032,19.508
2022-07-22 10:00:00,35.487,19.86
2022-07-22 11:00:00,38.968,20.24
2022-07-22 12:00:00,40.261,20.13
2022-07-22 13:00:00,39.99,19.997
2022-07-22 14:00:00,38.947,20.33
2022-07-22 15:00:00,35.325,19.843
2022-07-22 16:00:00,27.4,19.525
2022-07-22 17:00:00,15.82,19.073
2022-07-22 18:00:00,5.812,18.284
2022-07-22 19:00:00,1.541,16.92
2022-07-22 20:00:00,1.031,15.035
2022-07-22 21:00:00,0.0,13.414
2022-07-22 22:00:00,0.0,12.937
2022-07-22 23:00:00,0.0,12.963
