date,Production(W),Consumption(W)
2022-05-28 0:00:00,0.0,6.549
2022-05-28 1:00:00,0.0,6.754
2022-05-28 2:00:00,0.0,6.893
2022-05-28 3:00:00,0.0,6.562
2022-05-28 4:00:00,0.0,6.49
2022-05-28 5:00:00,0.0,6.462
2022-05-28 6:00:00,2.821,6.657
2022-05-28 7:00:00,7.561,7.289
2022-05-28 8:00:00,16.101,8.053
2022-05-28 9:00:00,14.845,8.259
2022-05-28 10:00:00,19.032,7.614
2022-05-28 11:00:00,22.058,6.838
2022-05-28 12:00:00,22.631,6.644
2022-05-28 13:00:00,22.407,6.767
2022-05-28 14:00:00,23.631,6.808
2022-05-28 15:00:00,25.236,6.767
2022-05-28 16:00:00,16.936,6.785
2022-05-28 17:00:00,8.323,6.704
2022-05-28 18:00:00,4.584,6.584
2022-05-28 19:00:00,1.163,6.664
2022-05-28 20:00:00,0.991,6.481
2022-05-28 21:00:00,0.0,6.196
2022-05-28 22:00:00,0.0,6.267
2022-05-28 23:00:00,0.0,6.416
