date,Production(W),Consumption(W)
2022-11-21 0:00:00,0.0,3.729
2022-11-21 1:00:00,0.0,3.755
2022-11-21 2:00:00,0.0,3.759
2022-11-21 3:00:00,0.0,3.79
2022-11-21 4:00:00,0.0,3.79
2022-11-21 5:00:00,0.0,3.713
2022-11-21 6:00:00,0.0,3.915
2022-11-21 7:00:00,0.0,4.412
2022-11-21 8:00:00,2.152,5.593
2022-11-21 9:00:00,9.779,7.534
2022-11-21 10:00:00,18.587,10.551
2022-11-21 11:00:00,27.443,11.909
2022-11-21 12:00:00,9.39,12.525
2022-11-21 13:00:00,8.687,12.735
2022-11-21 14:00:00,2.656,12.616
2022-11-21 15:00:00,2.344,12.936
2022-11-21 16:00:00,1.568,13.1
2022-11-21 17:00:00,1.004,12.868
2022-11-21 18:00:00,0.0,12.721
2022-11-21 19:00:00,0.0,11.817
2022-11-21 20:00:00,0.0,9.783
2022-11-21 21:00:00,0.0,7.359
2022-11-21 22:00:00,0.0,5.541
2022-11-21 23:00:00,0.0,4.274
