date,Production(W),Consumption(W)
2022-12-22 0:00:00,0.0,10.027
2022-12-22 1:00:00,0.0,10.117
2022-12-22 2:00:00,0.0,10.194
2022-12-22 3:00:00,0.0,9.986
2022-12-22 4:00:00,0.0,9.688
2022-12-22 5:00:00,0.0,9.526
2022-12-22 6:00:00,0.0,9.666
2022-12-22 7:00:00,0.929,10.55
2022-12-22 8:00:00,1.692,12.46
2022-12-22 9:00:00,4.031,15.853
2022-12-22 10:00:00,7.674,17.483
2022-12-22 11:00:00,14.573,17.485
2022-12-22 12:00:00,8.526,17.024
2022-12-22 13:00:00,12.755,16.59
2022-12-22 14:00:00,5.141,15.986
2022-12-22 15:00:00,3.695,15.813
2022-12-22 16:00:00,0.907,15.783
2022-12-22 17:00:00,0.0,15.363
2022-12-22 18:00:00,0.0,14.666
2022-12-22 19:00:00,0.0,13.826
2022-12-22 20:00:00,0.0,12.394
2022-12-22 21:00:00,0.0,10.76
2022-12-22 22:00:00,0.0,9.741
2022-12-22 23:00:00,0.0,9.694
