date,Production(W),Consumption(W)
2022-08-29 0:00:00,0.0,13.16
2022-08-29 1:00:00,0.0,13.117
2022-08-29 2:00:00,0.0,13.089
2022-08-29 3:00:00,0.0,13.279
2022-08-29 4:00:00,0.0,13.43
2022-08-29 5:00:00,0.0,14.181
2022-08-29 6:00:00,1.812,15.812
2022-08-29 7:00:00,4.883,17.53
2022-08-29 8:00:00,15.054,19.144
2022-08-29 9:00:00,27.19,20.33
2022-08-29 10:00:00,34.882,20.445
2022-08-29 11:00:00,38.484,20.383
2022-08-29 12:00:00,40.085,20.225
2022-08-29 13:00:00,41.181,20.119
2022-08-29 14:00:00,39.202,19.824
2022-08-29 15:00:00,34.746,19.723
2022-08-29 16:00:00,24.061,18.649
2022-08-29 17:00:00,10.289,17.202
2022-08-29 18:00:00,2.617,15.945
2022-08-29 19:00:00,1.253,14.84
2022-08-29 20:00:00,0.0,14.161
2022-08-29 21:00:00,0.0,13.718
2022-08-29 22:00:00,0.0,13.291
2022-08-29 23:00:00,0.0,13.183
