date,Production(W),Consumption(W)
2022-01-24 0:00:00,0.0,9.132
2022-01-24 1:00:00,0.0,9.319
2022-01-24 2:00:00,0.0,9.314
2022-01-24 3:00:00,0.0,9.17
2022-01-24 4:00:00,0.0,9.376
2022-01-24 5:00:00,0.0,9.63
2022-01-24 6:00:00,0.0,10.312
2022-01-24 7:00:00,0.862,10.908
2022-01-24 8:00:00,1.827,11.002
2022-01-24 9:00:00,5.443,11.236
2022-01-24 10:00:00,5.533,10.446
2022-01-24 11:00:00,5.596,10.908
2022-01-24 12:00:00,5.642,10.118
2022-01-24 13:00:00,5.814,11.617
2022-01-24 14:00:00,5.77,10.887
2022-01-24 15:00:00,4.366,11.626
2022-01-24 16:00:00,2.012,11.253
2022-01-24 17:00:00,1.001,11.177
2022-01-24 18:00:00,0.0,11.041
2022-01-24 19:00:00,0.0,11.117
2022-01-24 20:00:00,0.0,10.997
2022-01-24 21:00:00,0.0,10.362
2022-01-24 22:00:00,0.0,10.242
2022-01-24 23:00:00,0.0,9.847
