date,Production(W),Consumption(W)
2022-09-23 0:00:00,0.0,9.581
2022-09-23 1:00:00,0.0,9.401
2022-09-23 2:00:00,0.0,9.268
2022-09-23 3:00:00,0.0,9.017
2022-09-23 4:00:00,0.0,8.955
2022-09-23 5:00:00,0.0,8.585
2022-09-23 6:00:00,0.0,8.521
2022-09-23 7:00:00,3.206,8.848
2022-09-23 8:00:00,14.26,9.604
2022-09-23 9:00:00,27.746,11.72
2022-09-23 10:00:00,37.699,12.135
2022-09-23 11:00:00,42.511,12.506
2022-09-23 12:00:00,44.475,12.763
2022-09-23 13:00:00,42.529,12.984
2022-09-23 14:00:00,39.911,13.018
2022-09-23 15:00:00,35.832,13.008
2022-09-23 16:00:00,24.104,12.888
2022-09-23 17:00:00,11.935,12.711
2022-09-23 18:00:00,1.498,12.463
2022-09-23 19:00:00,0.0,11.647
2022-09-23 20:00:00,0.0,10.572
2022-09-23 21:00:00,0.0,9.556
2022-09-23 22:00:00,0.0,9.04
2022-09-23 23:00:00,0.0,8.911
