date,Production(W),Consumption(W)
2022-12-28 0:00:00,0.0,9.637
2022-12-28 1:00:00,0.0,9.722
2022-12-28 2:00:00,0.0,9.871
2022-12-28 3:00:00,0.0,9.667
2022-12-28 4:00:00,0.0,9.575
2022-12-28 5:00:00,0.0,9.423
2022-12-28 6:00:00,0.0,9.667
2022-12-28 7:00:00,0.902,10.566
2022-12-28 8:00:00,1.27,12.28
2022-12-28 9:00:00,9.05,14.812
2022-12-28 10:00:00,27.65,15.693
2022-12-28 11:00:00,36.433,15.888
2022-12-28 12:00:00,34.73,15.748
2022-12-28 13:00:00,32.42,15.414
2022-12-28 14:00:00,19.661,15.263
2022-12-28 15:00:00,8.622,15.336
2022-12-28 16:00:00,1.314,15.352
2022-12-28 17:00:00,0.0,15.097
2022-12-28 18:00:00,0.0,14.75
2022-12-28 19:00:00,0.0,13.842
2022-12-28 20:00:00,0.0,12.578
2022-12-28 21:00:00,0.0,10.934
2022-12-28 22:00:00,0.0,9.783
2022-12-28 23:00:00,0.0,9.542
