date,Production(W),Consumption(W)
2022-05-23 0:00:00,0.0,6.446
2022-05-23 1:00:00,0.0,6.507
2022-05-23 2:00:00,0.0,6.477
2022-05-23 3:00:00,0.0,6.361
2022-05-23 4:00:00,0.0,6.609
2022-05-23 5:00:00,0.0,7.264
2022-05-23 6:00:00,3.405,8.926
2022-05-23 7:00:00,8.067,10.546
2022-05-23 8:00:00,15.021,11.802
2022-05-23 9:00:00,17.796,12.855
2022-05-23 10:00:00,20.731,13.008
2022-05-23 11:00:00,19.08,13.109
2022-05-23 12:00:00,18.937,13.226
2022-05-23 13:00:00,21.946,13.536
2022-05-23 14:00:00,20.918,13.696
2022-05-23 15:00:00,17.301,13.557
2022-05-23 16:00:00,14.254,12.96
2022-05-23 17:00:00,7.373,11.772
2022-05-23 18:00:00,2.799,10.274
2022-05-23 19:00:00,1.262,9.041
2022-05-23 20:00:00,0.998,8.243
2022-05-23 21:00:00,0.0,7.312
2022-05-23 22:00:00,0.0,6.695
2022-05-23 23:00:00,0.0,6.42
