date,Production(W),Consumption(W)
2022-10-26 0:00:00,0.0,8.214
2022-10-26 1:00:00,0.0,8.308
2022-10-26 2:00:00,0.0,8.361
2022-10-26 3:00:00,0.0,8.147
2022-10-26 4:00:00,0.0,8.132
2022-10-26 5:00:00,0.0,8.081
2022-10-26 6:00:00,0.0,8.46
2022-10-26 7:00:00,1.154,9.342
2022-10-26 8:00:00,4.115,11.29
2022-10-26 9:00:00,19.197,13.434
2022-10-26 10:00:00,31.037,14.12
2022-10-26 11:00:00,36.19,14.102
2022-10-26 12:00:00,34.275,13.982
2022-10-26 13:00:00,35.51,13.543
2022-10-26 14:00:00,32.435,13.114
2022-10-26 15:00:00,23.445,13.081
2022-10-26 16:00:00,13.92,12.984
2022-10-26 17:00:00,2.96,12.319
2022-10-26 18:00:00,1.001,11.754
2022-10-26 19:00:00,0.0,10.752
2022-10-26 20:00:00,0.0,9.513
2022-10-26 21:00:00,0.0,8.276
2022-10-26 22:00:00,0.0,7.614
2022-10-26 23:00:00,0.0,7.543
