date,Production(W),Consumption(W)
2022-07-30 0:00:00,0.0,13.616
2022-07-30 1:00:00,0.0,13.672
2022-07-30 2:00:00,0.0,13.735
2022-07-30 3:00:00,0.0,13.626
2022-07-30 4:00:00,0.0,13.398
2022-07-30 5:00:00,0.0,13.527
2022-07-30 6:00:00,1.482,13.608
2022-07-30 7:00:00,5.266,14.05
2022-07-30 8:00:00,15.951,14.412
2022-07-30 9:00:00,26.864,14.418
2022-07-30 10:00:00,34.73,13.899
2022-07-30 11:00:00,38.182,13.581
2022-07-30 12:00:00,40.93,13.454
2022-07-30 13:00:00,41.474,13.446
2022-07-30 14:00:00,39.581,13.59
2022-07-30 15:00:00,36.004,13.565
2022-07-30 16:00:00,28.063,13.739
2022-07-30 17:00:00,16.264,13.526
2022-07-30 18:00:00,5.482,13.489
2022-07-30 19:00:00,1.337,13.529
2022-07-30 20:00:00,1.005,13.328
2022-07-30 21:00:00,0.0,13.081
2022-07-30 22:00:00,0.0,13.031
2022-07-30 23:00:00,0.0,13.234
