date,Production(W),Consumption(W)
2022-12-24 0:00:00,0.0,9.708
2022-12-24 1:00:00,0.0,9.626
2022-12-24 2:00:00,0.0,9.757
2022-12-24 3:00:00,0.0,9.736
2022-12-24 4:00:00,0.0,9.598
2022-12-24 5:00:00,0.0,9.368
2022-12-24 6:00:00,0.0,9.405
2022-12-24 7:00:00,1.013,9.605
2022-12-24 8:00:00,1.569,10.173
2022-12-24 9:00:00,3.203,10.733
2022-12-24 10:00:00,9.412,10.296
2022-12-24 11:00:00,23.269,9.581
2022-12-24 12:00:00,11.272,9.255
2022-12-24 13:00:00,16.42,9.281
2022-12-24 14:00:00,5.222,9.438
2022-12-24 15:00:00,3.116,9.436
2022-12-24 16:00:00,1.279,9.648
2022-12-24 17:00:00,0.0,9.657
2022-12-24 18:00:00,0.0,9.688
2022-12-24 19:00:00,0.0,9.648
2022-12-24 20:00:00,0.0,9.658
2022-12-24 21:00:00,0.0,9.389
2022-12-24 22:00:00,0.0,9.277
2022-12-24 23:00:00,0.0,9.337
