date,Production(W),Consumption(W)
2022-12-23 0:00:00,0.0,9.855
2022-12-23 1:00:00,0.0,9.845
2022-12-23 2:00:00,0.0,9.921
2022-12-23 3:00:00,0.0,9.923
2022-12-23 4:00:00,0.0,9.728
2022-12-23 5:00:00,0.0,9.599
2022-12-23 6:00:00,0.0,9.596
2022-12-23 7:00:00,0.0,9.847
2022-12-23 8:00:00,2.076,10.46
2022-12-23 9:00:00,4.485,12.609
2022-12-23 10:00:00,21.134,14.451
2022-12-23 11:00:00,15.193,15.483
2022-12-23 12:00:00,9.403,15.688
2022-12-23 13:00:00,9.787,15.762
2022-12-23 14:00:00,8.597,15.541
2022-12-23 15:00:00,2.661,15.288
2022-12-23 16:00:00,1.069,15.391
2022-12-23 17:00:00,0.0,15.187
2022-12-23 18:00:00,0.0,14.692
2022-12-23 19:00:00,0.0,13.8
2022-12-23 20:00:00,0.0,12.4
2022-12-23 21:00:00,0.0,10.743
2022-12-23 22:00:00,0.0,9.711
2022-12-23 23:00:00,0.0,9.66
