date,Production(W),Consumption(W)
2022-04-26 0:00:00,0.0,5.964
2022-04-26 1:00:00,0.0,6.122
2022-04-26 2:00:00,0.0,6.151
2022-04-26 3:00:00,0.0,6.034
2022-04-26 4:00:00,0.0,6.087
2022-04-26 5:00:00,1.025,6.58
2022-04-26 6:00:00,2.733,7.868
2022-04-26 7:00:00,11.215,9.905
2022-04-26 8:00:00,17.256,12.111
2022-04-26 9:00:00,21.627,12.677
2022-04-26 10:00:00,23.734,12.702
2022-04-26 11:00:00,24.67,12.217
2022-04-26 12:00:00,24.478,12.146
2022-04-26 13:00:00,23.584,12.348
2022-04-26 14:00:00,21.755,12.405
2022-04-26 15:00:00,16.91,12.181
2022-04-26 16:00:00,8.961,12.028
2022-04-26 17:00:00,2.418,11.456
2022-04-26 18:00:00,1.14,10.115
2022-04-26 19:00:00,0.0,8.643
2022-04-26 20:00:00,0.0,7.072
2022-04-26 21:00:00,0.0,6.37
2022-04-26 22:00:00,0.0,6.26
2022-04-26 23:00:00,0.0,6.357
