date,Production(W),Consumption(W)
2022-08-27 0:00:00,0.0,13.453
2022-08-27 1:00:00,0.0,13.483
2022-08-27 2:00:00,0.0,13.319
2022-08-27 3:00:00,0.0,13.249
2022-08-27 4:00:00,0.0,13.32
2022-08-27 5:00:00,0.0,13.487
2022-08-27 6:00:00,1.438,13.885
2022-08-27 7:00:00,3.725,14.435
2022-08-27 8:00:00,14.687,14.392
2022-08-27 9:00:00,26.034,13.93
2022-08-27 10:00:00,34.12,13.421
2022-08-27 11:00:00,37.901,13.384
2022-08-27 12:00:00,37.808,13.365
2022-08-27 13:00:00,40.348,13.498
2022-08-27 14:00:00,38.376,13.68
2022-08-27 15:00:00,34.13,13.518
2022-08-27 16:00:00,20.449,13.581
2022-08-27 17:00:00,13.834,13.435
2022-08-27 18:00:00,4.229,13.693
2022-08-27 19:00:00,1.325,13.703
2022-08-27 20:00:00,0.0,13.366
2022-08-27 21:00:00,0.0,13.248
2022-08-27 22:00:00,0.0,13.357
2022-08-27 23:00:00,0.0,13.4
