date,Production(W),Consumption(W)
2022-06-25 0:00:00,0.0,7.147
2022-06-25 1:00:00,0.0,7.24
2022-06-25 2:00:00,0.0,7.201
2022-06-25 3:00:00,0.0,6.885
2022-06-25 4:00:00,0.0,6.87
2022-06-25 5:00:00,0.0,6.946
2022-06-25 6:00:00,3.204,7.352
2022-06-25 7:00:00,7.194,8.176
2022-06-25 8:00:00,11.188,8.893
2022-06-25 9:00:00,15.825,8.445
2022-06-25 10:00:00,18.637,7.878
2022-06-25 11:00:00,19.963,7.181
2022-06-25 12:00:00,20.675,6.967
2022-06-25 13:00:00,20.736,7.061
2022-06-25 14:00:00,20.032,7.321
2022-06-25 15:00:00,15.934,7.471
2022-06-25 16:00:00,14.042,7.375
2022-06-25 17:00:00,7.997,7.247
2022-06-25 18:00:00,2.489,7.282
2022-06-25 19:00:00,1.417,7.317
2022-06-25 20:00:00,1.026,7.019
2022-06-25 21:00:00,0.0,6.769
2022-06-25 22:00:00,0.0,6.846
2022-06-25 23:00:00,0.0,6.902
