date,Production(W),Consumption(W)
2022-02-28 0:00:00,0.0,3.992
2022-02-28 1:00:00,0.0,3.93
2022-02-28 2:00:00,0.0,3.902
2022-02-28 3:00:00,0.0,3.888
2022-02-28 4:00:00,0.0,3.92
2022-02-28 5:00:00,0.0,4.114
2022-02-28 6:00:00,0.0,4.876
2022-02-28 7:00:00,1.473,6.588
2022-02-28 8:00:00,7.117,9.444
2022-02-28 9:00:00,18.612,11.923
2022-02-28 10:00:00,9.887,12.7
2022-02-28 11:00:00,11.478,12.566
2022-02-28 12:00:00,16.75,12.207
2022-02-28 13:00:00,18.171,12.128
2022-02-28 14:00:00,5.875,12.27
2022-02-28 15:00:00,9.202,11.936
2022-02-28 16:00:00,4.619,11.454
2022-02-28 17:00:00,1.279,10.39
2022-02-28 18:00:00,0.0,9.229
2022-02-28 19:00:00,0.0,7.729
2022-02-28 20:00:00,0.0,6.478
2022-02-28 21:00:00,0.0,5.065
2022-02-28 22:00:00,0.0,4.319
2022-02-28 23:00:00,0.0,3.937
