date,Production(W),Consumption(W)
2022-07-27 0:00:00,0.0,13.451
2022-07-27 1:00:00,0.0,13.635
2022-07-27 2:00:00,0.0,13.523
2022-07-27 3:00:00,0.0,13.291
2022-07-27 4:00:00,0.0,13.125
2022-07-27 5:00:00,0.0,13.375
2022-07-27 6:00:00,1.264,14.267
2022-07-27 7:00:00,4.451,16.498
2022-07-27 8:00:00,15.544,19.851
2022-07-27 9:00:00,27.13,21.487
2022-07-27 10:00:00,35.09,21.464
2022-07-27 11:00:00,38.373,21.594
2022-07-27 12:00:00,40.048,21.433
2022-07-27 13:00:00,40.104,21.273
2022-07-27 14:00:00,38.028,21.024
2022-07-27 15:00:00,34.479,20.496
2022-07-27 16:00:00,26.252,20.144
2022-07-27 17:00:00,15.741,19.373
2022-07-27 18:00:00,5.394,18.47
2022-07-27 19:00:00,1.438,17.136
2022-07-27 20:00:00,1.011,15.45
2022-07-27 21:00:00,0.0,13.801
2022-07-27 22:00:00,0.0,13.317
2022-07-27 23:00:00,0.0,13.549
