date,Production(W),Consumption(W)
2022-12-29 0:00:00,0.0,9.643
2022-12-29 1:00:00,0.0,9.745
2022-12-29 2:00:00,0.0,9.858
2022-12-29 3:00:00,0.0,9.674
2022-12-29 4:00:00,0.0,9.199
2022-12-29 5:00:00,0.0,9.105
2022-12-29 6:00:00,0.0,9.337
2022-12-29 7:00:00,0.965,10.248
2022-12-29 8:00:00,1.869,12.306
2022-12-29 9:00:00,13.044,15.034
2022-12-29 10:00:00,21.105,16.288
2022-12-29 11:00:00,32.77,16.41
2022-12-29 12:00:00,34.017,16.057
2022-12-29 13:00:00,32.548,15.615
2022-12-29 14:00:00,16.821,15.316
2022-12-29 15:00:00,5.36,15.334
2022-12-29 16:00:00,0.966,15.251
2022-12-29 17:00:00,0.0,14.989
2022-12-29 18:00:00,0.0,14.541
2022-12-29 19:00:00,0.0,13.767
2022-12-29 20:00:00,0.0,12.258
2022-12-29 21:00:00,0.0,10.486
2022-12-29 22:00:00,0.0,9.493
2022-12-29 23:00:00,0.0,9.509
