date,Production(W),Consumption(W)
2022-09-24 0:00:00,0.0,8.734
2022-09-24 1:00:00,0.0,8.703
2022-09-24 2:00:00,0.0,8.664
2022-09-24 3:00:00,0.0,8.42
2022-09-24 4:00:00,0.0,8.102
2022-09-24 5:00:00,0.0,7.927
2022-09-24 6:00:00,0.0,8.009
2022-09-24 7:00:00,2.662,8.222
2022-09-24 8:00:00,14.724,8.556
2022-09-24 9:00:00,27.399,8.303
2022-09-24 10:00:00,37.989,7.79
2022-09-24 11:00:00,42.145,7.913
2022-09-24 12:00:00,43.773,7.951
2022-09-24 13:00:00,43.369,8.048
2022-09-24 14:00:00,40.663,8.014
2022-09-24 15:00:00,35.927,8.288
2022-09-24 16:00:00,26.028,8.358
2022-09-24 17:00:00,6.425,8.391
2022-09-24 18:00:00,1.985,8.319
2022-09-24 19:00:00,0.0,8.372
2022-09-24 20:00:00,0.0,8.198
2022-09-24 21:00:00,0.0,8.069
2022-09-24 22:00:00,0.0,8.112
2022-09-24 23:00:00,0.0,8.168
