date,Production(W),Consumption(W)
2022-05-24 0:00:00,0.0,6.3
2022-05-24 1:00:00,0.0,6.396
2022-05-24 2:00:00,0.0,6.458
2022-05-24 3:00:00,0.0,6.386
2022-05-24 4:00:00,0.0,6.478
2022-05-24 5:00:00,0.0,6.867
2022-05-24 6:00:00,2.75,7.698
2022-05-24 7:00:00,5.467,9.386
2022-05-24 8:00:00,11.782,11.779
2022-05-24 9:00:00,16.503,13.82
2022-05-24 10:00:00,19.836,14.319
2022-05-24 11:00:00,21.273,14.315
2022-05-24 12:00:00,21.832,13.929
2022-05-24 13:00:00,22.044,13.843
2022-05-24 14:00:00,21.291,13.548
2022-05-24 15:00:00,18.009,13.393
2022-05-24 16:00:00,14.687,13.036
2022-05-24 17:00:00,8.374,12.326
2022-05-24 18:00:00,3.837,11.142
2022-05-24 19:00:00,1.529,9.604
2022-05-24 20:00:00,1.011,8.109
2022-05-24 21:00:00,0.0,6.994
2022-05-24 22:00:00,0.0,6.528
2022-05-24 23:00:00,0.0,6.637
