date,Production(W),Consumption(W)
2022-03-21 0:00:00,0.0,5.988
2022-03-21 1:00:00,0.0,6.031
2022-03-21 2:00:00,0.0,5.997
2022-03-21 3:00:00,0.0,6.033
2022-03-21 4:00:00,0.0,6.165
2022-03-21 5:00:00,0.0,6.297
2022-03-21 6:00:00,1.332,7.615
2022-03-21 7:00:00,4.37,10.264
2022-03-21 8:00:00,10.064,12.16
2022-03-21 9:00:00,17.988,14.023
2022-03-21 10:00:00,25.713,14.592
2022-03-21 11:00:00,14.686,14.644
2022-03-21 12:00:00,27.808,14.883
2022-03-21 13:00:00,26.146,14.935
2022-03-21 14:00:00,24.125,14.669
2022-03-21 15:00:00,12.939,14.671
2022-03-21 16:00:00,6.891,13.793
2022-03-21 17:00:00,3.433,12.412
2022-03-21 18:00:00,0.998,10.95
2022-03-21 19:00:00,0.0,9.43
2022-03-21 20:00:00,0.0,8.289
2022-03-21 21:00:00,0.0,6.942
2022-03-21 22:00:00,0.0,5.976
2022-03-21 23:00:00,0.0,5.628
