date,Production(W),Consumption(W)
2022-02-22 0:00:00,0.0,3.675
2022-02-22 1:00:00,0.0,3.876
2022-02-22 2:00:00,0.0,4.23
2022-02-22 3:00:00,0.0,4.202
2022-02-22 4:00:00,0.0,4.308
2022-02-22 5:00:00,0.0,4.588
2022-02-22 6:00:00,0.0,5.514
2022-02-22 7:00:00,1.136,7.9
2022-02-22 8:00:00,5.652,10.498
2022-02-22 9:00:00,4.572,12.185
2022-02-22 10:00:00,4.602,12.25
2022-02-22 11:00:00,5.164,12.334
2022-02-22 12:00:00,8.356,12.06
2022-02-22 13:00:00,9.334,11.949
2022-02-22 14:00:00,7.054,11.881
2022-02-22 15:00:00,4.909,11.479
2022-02-22 16:00:00,1.522,11.18
2022-02-22 17:00:00,1.304,10.398
2022-02-22 18:00:00,0.0,9.571
2022-02-22 19:00:00,0.0,8.163
2022-02-22 20:00:00,0.0,6.595
2022-02-22 21:00:00,0.0,5.172
2022-02-22 22:00:00,0.0,4.448
2022-02-22 23:00:00,0.0,4.503
