date,Production(W),Consumption(W)
2022-07-26 0:00:00,0.0,13.141
2022-07-26 1:00:00,0.0,13.348
2022-07-26 2:00:00,0.0,13.404
2022-07-26 3:00:00,0.0,13.543
2022-07-26 4:00:00,0.0,13.529
2022-07-26 5:00:00,0.0,13.668
2022-07-26 6:00:00,1.461,14.389
2022-07-26 7:00:00,4.994,16.423
2022-07-26 8:00:00,15.346,18.8
2022-07-26 9:00:00,26.842,20.705
2022-07-26 10:00:00,35.001,21.743
2022-07-26 11:00:00,38.224,22.128
2022-07-26 12:00:00,39.431,22.071
2022-07-26 13:00:00,39.609,22.031
2022-07-26 14:00:00,38.543,21.613
2022-07-26 15:00:00,35.326,21.402
2022-07-26 16:00:00,31.475,21.075
2022-07-26 17:00:00,19.353,20.356
2022-07-26 18:00:00,8.633,19.329
2022-07-26 19:00:00,1.858,17.807
2022-07-26 20:00:00,1.028,15.753
2022-07-26 21:00:00,0.0,14.127
2022-07-26 22:00:00,0.0,13.377
2022-07-26 23:00:00,0.0,13.254
