date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W),State of Charge(%)
2020-04-16 0:0:00,3.63,0.0,0.0,4.18,0.0,0.55,34.0
2020-04-16 0:15:00,2.58,1.6900000000000004,0.0,114.97999999999999,0.0,114.08999999999999,34.0
2020-04-16 0:30:00,0.0,1.8000000000000007,0.0,111.17,0.0,112.97000000000001,33.0
2020-04-16 0:45:00,0.0,1.8000000000000007,0.0,105.15,0.0,106.95,33.0
2020-04-16 1:0:00,0.0,1.8000000000000007,0.0,124.85,0.0,126.64999999999999,33.0
2020-04-16 1:15:00,0.0,546.1500000000001,0.0,683.74,0.0,1229.89,33.0
2020-04-16 1:30:00,0.0,402.5750000000001,0.0,558.9599999999999,0.0,961.535,39.0
2020-04-16 1:45:00,0.0,625.0600000000001,0.0,766.6500000000001,0.0,1391.71,43.0
2020-04-16 2:0:00,0.0,625.0500000000001,0.0,765.3499999999999,0.0,1390.4,49.0
2020-04-16 2:15:00,0.0,625.0500000000001,0.0,758.88,0.0,1383.93,55.0
2020-04-16 2:30:00,0.0,625.0500000000001,0.0,722.56,0.0,1347.6099999999997,60.0
2020-04-16 2:45:00,0.0,625.0500000000001,0.0,721.4699999999999,0.0,1346.52,67.0
2020-04-16 3:0:00,0.0,625.0500000000001,0.0,734.28,0.0,1359.3300000000002,72.0
2020-04-16 3:15:00,0.0,625.0500000000001,0.0,744.2499999999999,0.0,1369.2999999999997,78.0
2020-04-16 3:30:00,0.0,625.0500000000001,0.0,743.02,0.0,1368.0700000000004,84.0
2020-04-16 3:45:00,0.0,625.0500000000001,0.0,741.49,0.0,1366.54,90.0
2020-04-16 4:0:00,0.0,135.31999999999996,0.0,252.35000000000002,0.0,387.67,97.0
2020-04-16 4:15:00,0.0,1.8000000000000007,0.0,100.32,0.0,102.12000000000002,100.0
2020-04-16 4:30:00,0.0,1.8000000000000007,0.0,112.77,0.0,114.57000000000002,100.0
2020-04-16 4:45:00,0.0,1.8000000000000007,0.0,131.4,0.0,133.2,100.0
2020-04-16 5:0:00,0.0,1.8000000000000007,0.0,147.26999999999998,0.0,149.07000000000002,100.0
2020-04-16 5:15:00,0.0,1.8000000000000007,0.0,144.95,0.0,146.75,100.0
2020-04-16 5:30:00,0.0,1.8000000000000007,0.0,143.6,0.0,145.4,100.0
2020-04-16 5:45:00,0.0,1.8000000000000007,0.0,142.85,0.0,144.65000000000003,100.0
2020-04-16 6:0:00,0.0,1.8000000000000007,0.0,110.17999999999998,0.0,111.98000000000002,100.0
2020-04-16 6:15:00,0.0,1.8000000000000007,0.0,96.55000000000001,0.0,98.34999999999998,100.0
2020-04-16 6:30:00,0.0,1.8000000000000007,0.0,99.24,0.0,101.04000000000002,100.0
2020-04-16 6:45:00,0.0,1.8000000000000007,0.0,118.52000000000002,0.0,120.31999999999998,100.0
2020-04-16 7:0:00,0.0,1.8000000000000007,2.0,115.43,0.0,115.22999999999999,100.0
2020-04-16 7:15:00,20.599999999999998,0.48,24.59,80.25000000000001,0.0,35.540000000000006,100.0
2020-04-16 7:30:00,108.34,1.52,55.47,169.69,0.7699999999999999,8.17,100.0
2020-04-16 7:45:00,0.93,4.7700000000000005,62.73000000000001,61.26,2.37,4.74,98.0
2020-04-16 8:0:00,0.0,29.8,83.95,47.71999999999999,6.430000000000001,0.0,98.0
2020-04-16 8:15:00,0.19,2.4299999999999997,63.01,66.38,0.48,6.09,98.0
2020-04-16 8:30:00,7.4,3.42,73.01,80.83000000000001,1.45,5.29,98.0
2020-04-16 8:45:00,114.39999999999999,3.6700000000000004,84.82000000000001,204.79000000000002,1.8199999999999998,11.06,98.0
2020-04-16 9:0:00,44.31,44.43999999999999,190.42999999999998,202.36,0.89,12.950000000000001,97.0
2020-04-16 9:15:00,0.0,147.44000000000003,241.34000000000006,88.21000000000001,6.24,0.55,96.0
2020-04-16 9:30:00,0.0,254.53,357.13000000000005,99.95999999999998,5.99,3.3499999999999996,96.0
2020-04-16 9:45:00,0.0,42.95999999999999,395.08000000000004,4.37,347.75,0.0,98.0
2020-04-16 10:0:00,0.0,10.139999999999999,297.03,3.8499999999999996,283.03999999999996,0.0,100.0
2020-04-16 10:15:00,0.0,8.22,306.66999999999996,0.0,298.45,0.0,100.0
2020-04-16 10:30:00,0.0,1.8200000000000003,376.68,0.0,374.86,0.0,100.0
2020-04-16 10:45:00,0.0,1.83,402.4699999999999,0.0,400.64,0.0,100.0
2020-04-16 11:0:00,0.0,1.8400000000000003,412.90999999999997,73.67,337.4,0.0,100.0
2020-04-16 11:15:00,0.0,1.8000000000000007,356.07,0.0,354.27,0.0,100.0
2020-04-16 11:30:00,0.0,1.8000000000000007,290.08000000000004,0.78,287.5,0.0,100.0
2020-04-16 11:45:00,0.0,1.8000000000000007,383.51000000000005,20.76,360.95000000000005,0.0,100.0
2020-04-16 12:0:00,0.0,1.8100000000000005,396.89,0.0,395.08000000000004,0.0,100.0
2020-04-16 12:15:00,0.0,1.8000000000000007,386.06999999999994,0.0,384.2699999999999,0.0,100.0
2020-04-16 12:30:00,0.0,1.8000000000000007,408.99999999999994,0.0,407.20000000000005,0.0,100.0
2020-04-16 12:45:00,0.0,1.8200000000000003,404.56000000000006,22.22,380.52000000000004,0.0,100.0
2020-04-16 13:0:00,0.0,1.87,413.93,187.43,224.62999999999997,0.0,100.0
2020-04-16 13:15:00,0.0,1.83,411.53999999999996,69.12,340.59000000000003,0.0,100.0
2020-04-16 13:30:00,0.0,1.8600000000000003,408.23999999999995,125.4,280.98,0.0,100.0
2020-04-16 13:45:00,0.0,1.8500000000000005,348.70000000000005,0.0,346.85,0.0,100.0
2020-04-16 14:0:00,0.0,1.8000000000000007,313.35999999999996,0.0,311.55999999999995,0.0,100.0
2020-04-16 14:15:00,0.0,1.8300000000000005,291.82000000000005,0.0,289.99,0.0,100.0
2020-04-16 14:30:00,8.75,1.5999999999999996,377.79999999999995,133.37,254.29999999999995,2.72,100.0
2020-04-16 14:45:00,27.35,47.79,250.13,193.43999999999997,39.22999999999999,2.98,100.0
2020-04-16 15:0:00,6.7,75.27,185.06999999999996,114.25000000000001,6.459999999999999,4.21,99.0
2020-04-16 15:15:00,0.0,16.730000000000004,225.82999999999998,6.970000000000001,202.13000000000002,0.0,99.0
2020-04-16 15:30:00,0.0,1.8000000000000007,175.64,31.66,142.18,0.0,100.0
2020-04-16 15:45:00,0.0,1.8000000000000007,231.28999999999996,12.479999999999999,217.00999999999996,0.0,100.0
2020-04-16 16:0:00,0.0,1.8000000000000007,210.38000000000002,16.29,192.29000000000002,0.0,100.0
2020-04-16 16:15:00,0.0,1.8000000000000007,189.35,31.560000000000002,155.99,0.0,100.0
2020-04-16 16:30:00,0.0,1.8000000000000007,198.83,8.4,188.62999999999997,0.0,100.0
2020-04-16 16:45:00,0.0,1.8000000000000007,155.91,42.6,111.50999999999999,0.0,100.0
2020-04-16 17:0:00,12.28,1.7199999999999998,126.69999999999999,93.62,48.2,4.56,100.0
2020-04-16 17:15:00,35.56,1.46,125.16999999999997,117.56000000000002,42.83,1.12,100.0
2020-04-16 17:30:00,1.9,0.8400000000000001,96.59,96.04999999999998,4.71,3.11,100.0
2020-04-16 17:45:00,19.489999999999995,0.0,74.52000000000001,102.40999999999998,0.0,8.4,100.0
2020-04-16 18:0:00,41.21999999999999,0.0,52.0,101.84999999999998,0.0,8.63,99.0
2020-04-16 18:15:00,58.54999999999999,0.0,38.739999999999995,106.93999999999998,0.0,9.65,99.0
2020-04-16 18:30:00,84.44,0.0,19.06,111.78999999999999,0.0,8.29,98.0
2020-04-16 18:45:00,60.97,0.0,20.540000000000006,90.18999999999998,0.0,8.68,97.0
2020-04-16 19:0:00,135.71,0.0,23.25,170.31,0.0,11.349999999999998,96.0
2020-04-16 19:15:00,73.99,0.0,16.84,99.43,0.0,8.599999999999998,94.0
2020-04-16 19:30:00,99.14999999999999,0.0,10.009999999999998,119.53,0.0,10.370000000000001,92.0
2020-04-16 19:45:00,74.81,0.0,9.07,92.33,0.0,8.449999999999998,91.0
2020-04-16 20:0:00,69.69999999999999,0.0,2.2499999999999996,84.76,0.0,12.810000000000002,90.0
2020-04-16 20:15:00,95.55000000000001,0.0,0.0,104.17999999999999,0.0,8.63,89.0
2020-04-16 20:30:00,106.11,0.0,0.0,114.69,0.0,8.58,87.0
2020-04-16 20:45:00,334.99999999999994,0.0,0.0,583.2,0.0,248.19999999999993,86.0
2020-04-16 21:0:00,125.23,0.0,0.0,134.03,0.0,8.799999999999999,82.0
2020-04-16 21:15:00,130.21,0.0,0.0,138.70999999999998,0.0,8.5,81.0
2020-04-16 21:30:00,552.8799999999999,0.0,0.0,1021.69,0.0,468.80999999999995,78.0
2020-04-16 21:45:00,195.67,0.0,0.0,206.22,0.0,10.550000000000002,72.0
2020-04-16 22:0:00,159.07,0.0,0.0,168.1,0.0,9.03,70.0
2020-04-16 22:15:00,146.95,0.0,0.0,155.42,0.0,8.469999999999999,68.0
2020-04-16 22:30:00,131.31000000000003,0.0,0.0,139.53,0.0,8.22,66.0
2020-04-16 22:45:00,112.19,0.0,0.0,120.78000000000003,0.0,8.590000000000002,65.0
2020-04-16 23:0:00,110.62,0.0,0.0,118.86999999999999,0.0,8.25,63.0
2020-04-16 23:15:00,109.95,0.0,0.0,118.35,0.0,8.4,62.0
2020-04-16 23:30:00,105.44,0.0,0.0,113.80999999999999,0.0,8.37,61.0
