date,Production(KWh),Consumption(KWh)
2023-08-30 0:00:00,0.0,9.61
2023-08-30 1:00:00,0.0,10.84
2023-08-30 2:00:00,0.0,6.79
2023-08-30 3:00:00,0.0,6.91
2023-08-30 4:00:00,0.0,7.02
2023-08-30 5:00:00,0.0,6.91
2023-08-30 6:00:00,0.07,7.04
2023-08-30 7:00:00,4.24,7.19
2023-08-30 8:00:00,15.95,7.0
2023-08-30 9:00:00,27.37,6.74
2023-08-30 10:00:00,35.25,8.79
2023-08-30 11:00:00,40.12,12.23
2023-08-30 12:00:00,42.26,12.72
2023-08-30 13:00:00,28.57,12.03
2023-08-30 14:00:00,39.9,11.34
2023-08-30 15:00:00,36.57,12.34
2023-08-30 16:00:00,27.08,12.36
2023-08-30 17:00:00,13.45,12.38
2023-08-30 18:00:00,3.26,8.9
2023-08-30 19:00:00,0.19,9.95
2023-08-30 20:00:00,0.0,9.06
2023-08-30 21:00:00,0.0,8.12
2023-08-30 22:00:00,0.0,6.65
2023-08-30 23:00:00,0.0,7.08
