date,Production(KWh),Consumption(KWh)
2023-11-24 0:00:00,0.0,7.43
2023-11-24 1:00:00,0.0,7.18
2023-11-24 2:00:00,0.0,6.72
2023-11-24 3:00:00,0.0,6.55
2023-11-24 4:00:00,0.0,6.61
2023-11-24 5:00:00,0.0,6.66
2023-11-24 6:00:00,0.0,6.41
2023-11-24 7:00:00,0.0,4.85
2023-11-24 8:00:00,0.42,6.68
2023-11-24 9:00:00,3.29,6.5
2023-11-24 10:00:00,24.37,6.56
2023-11-24 11:00:00,35.66,6.46
2023-11-24 12:00:00,38.58,6.55
2023-11-24 13:00:00,31.14,6.49
2023-11-24 14:00:00,33.27,6.46
2023-11-24 15:00:00,24.69,6.43
2023-11-24 16:00:00,9.6,6.59
2023-11-24 17:00:00,0.82,6.5
2023-11-24 18:00:00,0.0,8.33
2023-11-24 19:00:00,0.0,8.92
2023-11-24 20:00:00,0.0,8.37
2023-11-24 21:00:00,0.0,8.24
2023-11-24 22:00:00,0.0,7.7
2023-11-24 23:00:00,0.0,7.07
